Curve_UACJ solar_20231018105307
Time,UACJ solar(46372)/Inverter AC Power(kW),Meteo Station5(08224)/Ambient Humidity(%RH),Meteo Station5(08224)/Atmospheric Pressure(hPa),Meteo Station5(08224)/Wind Angle(°),Meteo Station5(08224)/Wind Speed(m/s),Meteo Station5(08224)/Temp. (PV module)(℃),Meteo Station5(08224)/Ambient Temperature(℃),Meteo Station5(08224)/Slope Transient Irradiation(W/㎡)
2023-10-17 00:00:00,0,86.1,998.5,274,0.2,27.1,28.2,--
2023-10-17 00:05:00,0,84.9,998.5,275,0.2,27.1,28.2,--
2023-10-17 00:10:00,0,83.8,998.4,273,0.4,27.1,28.1,--
2023-10-17 00:15:00,0,85.3,998.4,295,0.3,27.1,28.2,--
2023-10-17 00:20:00,0,85.4,998.2,344,0,27.1,28,--
2023-10-17 00:25:00,0,84.9,998.3,259,0.1,27.1,28.1,--
2023-10-17 00:30:00,0,85.8,998.1,280,0.1,26.8,28.2,--
2023-10-17 00:35:00,0,86.3,998,248,0,26.8,28,--
2023-10-17 00:40:00,0,85.8,998.1,260,0.1,26.8,28,--
2023-10-17 00:45:00,0,86.3,998,249,0.2,26.8,27.9,--
2023-10-17 00:50:00,0,86.3,997.9,262,0.5,26.6,27.8,--
2023-10-17 00:55:00,0,86,997.8,273,0.3,26.6,27.7,--
2023-10-17 01:00:00,0,85.3,997.7,275,0,26.8,27.9,--
2023-10-17 01:05:00,0,86,997.6,259,0.2,26.8,27.7,--
2023-10-17 01:10:00,0,86.1,997.6,262,0.1,26.8,27.8,--
2023-10-17 01:15:00,0,86.3,997.6,261,0.2,26.7,27.6,--
2023-10-17 01:20:00,0,85.9,997.5,265,0.2,26.6,27.7,--
2023-10-17 01:25:00,0,86.2,997.4,280,0.3,26.6,27.6,--
2023-10-17 01:30:00,0,86.1,997.6,354,0.1,26.5,27.6,--
2023-10-17 01:35:00,0,85.8,997.5,327,0,26.5,27.8,--
2023-10-17 01:40:00,0,85.7,997.4,281,0,26.6,28,--
2023-10-17 01:45:00,0,85.5,997.5,312,0,26.6,28.2,--
2023-10-17 01:50:00,0,84.1,997.4,326,0,26.7,28.3,--
2023-10-17 01:55:00,0,83.9,997.4,315,0,26.6,28.3,--
2023-10-17 02:00:00,0,83.4,997.5,302,0.2,26.8,28.3,--
2023-10-17 02:05:00,0,83.5,997.4,295,0.2,27,28.3,--
2023-10-17 02:10:00,0,83,997.4,307,0,27,28.4,--
2023-10-17 02:15:00,0,82.8,997.3,294,0,27.1,28.5,--
2023-10-17 02:20:00,0,81.9,997.4,317,0.1,27.1,28.3,--
2023-10-17 02:25:00,0,81.3,997.2,291,0.3,27.1,28.4,--
2023-10-17 02:30:00,0,82.5,997,246,0,27.1,28.3,--
2023-10-17 02:35:00,0,82,996.9,305,0.3,27.1,28.4,--
2023-10-17 02:40:00,0,82.3,997,312,0.2,27,28.3,--
2023-10-17 02:45:00,0,82.3,996.8,319,0.1,27,28.3,--
2023-10-17 02:50:00,0,82.5,996.8,318,0,26.9,28.3,--
